"Model","C_index_Train","AUC_Train","Brier_Train","C_index_Val","AUC_Val","Brier_Val","C_index_Test","AUC_Test","Brier_Test","Overfitting_CIndex","Overfitting_AUC","Rank","vs_TNM_CIndex","vs_TNM_AUC"
"m1_stepaic_forward",0.716,0.715,0.237,0.691,0.712,0.271,0.776,0.781,0.237,-0.06,-0.066,1,0.053,0.065
"m5_univariate_screen",0.719,0.705,0.232,0.722,0.74,0.207,0.767,0.76,0.196,-0.048,-0.055,2,0.043,0.043
"m6_rfe",0.72,0.72,0.32,0.681,0.7,0.253,0.749,0.748,0.237,-0.029,-0.028,3,0.026,0.031
"m2_stepaic_backward",0.716,0.712,0.286,0.672,0.686,0.236,0.746,0.747,0.208,-0.03,-0.036,4,0.022,0.031
"m8_predefined",0.708,0.7,0.238,0.683,0.704,0.263,0.742,0.734,0.255,-0.034,-0.034,5,0.019,0.017
"m3_stepbic_forward",0.698,0.694,0.227,0.688,0.713,0.227,0.731,0.724,0.226,-0.033,-0.03,6,0.007,0.007
"TNM",0.673,0.671,0.363,0.654,0.679,0.265,0.723,0.717,0.25,-0.05,-0.046,7,0,0
"m4_stepbic_backward",0.701,0.698,0.422,0.679,0.701,0.31,0.69,0.682,0.296,0.011,0.016,8,-0.033,-0.035
"m7_lasso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
"m7k_lasso_constrained",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
