"Model","Variable","β","SE","HR","95% CI","P-value",""
"m1_stepaic_forward","t","0.402","0.119","1.495","(1.185-1.887)","<0.001","***"
"m1_stepaic_forward","ALBIscore","0.515","0.196","1.674","(1.140-2.457)","0.009","**"
"m1_stepaic_forward","afp_l3_log1p","0.066","0.038","1.068","(0.991-1.151)","0.086",""
"m1_stepaic_forward","sm1","0.502","0.252","1.653","(1.008-2.710)","0.047","*"
"m1_stepaic_forward","fc_inf1","0.391","0.149","1.479","(1.105-1.980)","0.009","**"
"m1_stepaic_forward","alt_log1p","0.112","0.094","1.119","(0.930-1.346)","0.234",""
"m1_stepaic_forward","liver_damageB","0.245","0.181","1.278","(0.896-1.823)","0.176",""
"m1_stepaic_forward","liver_damageC","NA","0.000","NA","(NA-NA)",NA,NA
"m1_stepaic_forward","macroVITRUE","0.668","0.223","1.950","(1.260-3.017)","0.003","**"
"m1_stepaic_forward","m","-0.884","0.366","0.413","(0.202-0.846)","0.016","*"
"m1_stepaic_forward","stage_diagBR1","0.081","0.205","1.084","(0.726-1.620)","0.693",""
"m1_stepaic_forward","stage_diagBR2","0.514","0.197","1.672","(1.136-2.461)","0.009","**"
"m1_stepaic_forward","child_pughB","-0.815","0.371","0.442","(0.214-0.915)","0.028","*"
"m1_stepaic_forward","child_pughC","NA","0.000","NA","(NA-NA)",NA,NA
"m1_stepaic_forward","plt_log1p","-0.315","0.169","0.730","(0.524-1.016)","0.062",""
"m1_stepaic_forward","fibrosis_score","-0.101","0.058","0.904","(0.807-1.012)","0.080",""
"m1_stepaic_forward","icg_r15_log1p","0.225","0.144","1.252","(0.945-1.660)","0.117",""
"m1_stepaic_forward","microVITRUE","0.303","0.195","1.354","(0.924-1.983)","0.120",""
